PuzzleId,FEN,Moves,Rating,Themes
03EDn,r2qr1Qk/ppp3pp/2n5/4N3/3P4/2P5/P4PPP/R3K2R b KQ - 2 16,e8g8 e5f7,844,mate mateIn1 middlegame oneMove smotheredMate
00LWX,2r4k/5p2/4pNp1/6Pp/q6P/7r/2PQ4/1RKN4 w - - 2 37,d2b4 c8c2,845,epauletteMate mate mateIn1 middlegame oneMove
02U5p,2r3k1/5ppp/2R5/p2B4/1p3P2/1P1b2P1/q2P1P1P/4Q1K1 b - - 0 25,c8c6 e1e8,848,endgame mate mateIn1 oneMove
0162G,2r1kb1r/1p3ppp/p7/3ppP2/8/1P1PBP2/P4RPP/R5K1 w k - 1 21,a1c1 c8c1 e3c1 f8c5,850,crushing endgame pin short
00HeG,8/1p5k/p3pQq1/3pP3/2p3P1/2P5/PP6/2K5 w - - 3 33,f6h4 g6h6 h4h6 h7h6,851,crushing endgame master queenEndgame short
01zzO,r4rk1/1p1b1p2/p3p1p1/q2pN2p/5Q1P/2N3R1/nPP2PP1/2K1R3 w - - 0 21,c3a2 a5e1,852,hangingPiece master mate mateIn1 middlegame oneMove
01vPy,8/4k3/4n3/8/2P3PP/P2Q4/6K1/r7 w - - 17 55,g4g5 e6f4 g2f3 f4d3,854,crushing endgame fork short
00Y5Q,rnbq1rk1/pp2b2p/4p2p/3p1p1Q/2pP4/P1N5/1PP1PPPP/2KR1BNR w - - 0 11,h5h6 e7g5 h6g5 d8g5,855,crushing fork opening short
02WTu,3rr1k1/p3bpp1/2p1q2p/2p1P3/2NpR3/1PnP2QP/P1P2PP1/R1B3K1 w - - 5 21,e4g4 c3e2 g1h1 e2g3,855,crushing fork middlegame short
00HIV,8/8/1p1k1n1p/4p3/1PP2pp1/3K4/3N1PPP/8 b - - 3 37,h6h5 d2e4 f6e4 d3e4,859,crushing endgame knightEndgame master short
00ogc,1r4k1/5p2/4p1pp/3p4/3P4/q1P3P1/PrRQRP1P/6K1 b - - 11 27,a3a2 c2b2 b8b2 d2b2,860,crushing endgame short
02FEp,2kr4/Qp1n1pp1/p1p5/3p4/Nq1RP2r/8/PPP2P2/1K5R w - - 0 23,h1h4 b4e1 d4d1 e1d1,860,mate mateIn2 middlegame queensideAttack short
027IA,rn1q1knr/p1ppp1bP/1p6/4N2Q/3P4/3B4/PPP2P1P/RNB1K2b b Q - 1 9,g8f6 h5f7,862,mate mateIn1 oneMove opening
00Rcs,3k4/ppp2p1r/4p2P/5n2/3Pp1N1/2P2K2/P1P3P1/7R w - - 0 30,f3e4 f5g3 e4f4 g3h1,863,crushing endgame fork short
03jYy,2rq1rk1/3bbpp1/p3p2p/n2pP3/1p1P4/1P1Q1NN1/P1BR1PPP/R5K1 b - - 5 21,d7b5 d3h7,863,mate mateIn1 middlegame oneMove
004WZ,r6k/1b3pp1/p1q1pn1p/2p5/P1B5/1PN4Q/2P1RP1P/R4Kr1 w - - 2 26,f1g1 c6h1,866,mate mateIn1 middlegame oneMove
00AOH,6k1/1R6/1p2p1pp/4P3/p1N2P2/6PK/7P/1r6 w - - 0 48,b7b6 b1b6 c4b6 a4a3 b6d7 a3a2,866,advancedPawn advantage endgame long
01J49,6R1/p4q2/2p4p/6pk/6P1/8/P4r1P/6QK b - - 0 42,h5h4 g1g3,873,endgame mate mateIn1 oneMove
02L3h,3r2k1/3r1p1p/p2N2pB/1p1Q4/1P6/P1q5/5PPP/3R2K1 w - - 1 23,h6g5 d7d6 d5d6 d8d6,873,crushing middlegame short
02w7n,1k1r4/ppp3Qp/2q5/8/8/3P1P2/PPP1r2P/2KR2R1 w - - 0 18,g1g2 c6c2,873,endgame mate mateIn1 oneMove queensideAttack
00Zx9,r1b1k1nr/ppp2ppp/3p2q1/4R1B1/2B2P2/7P/P5P1/1N1Q2K1 b kq - 0 14,d6e5 d1d8,879,mate mateIn1 middlegame oneMove
00Tkj,2r2k1Q/p4pp1/1p2p1n1/4P1B1/q7/2r4R/P4PP1/4R1K1 b - - 3 28,g6h8 h3h8,880,master mate mateIn1 middlegame oneMove pillsburysMate
02zOY,r4r1k/ppp3pp/1q1pQ3/3P2b1/4RB2/8/PP3PPP/R5K1 w - - 3 23,f4g5 b6f2 g1h1 f2f1 a1f1 f8f1,881,backRankMate long mate mateIn3 middlegame sacrifice
02QP1,5r2/3bp1kn/5qp1/pp6/3R4/1P2N1QP/P5P1/1B4K1 b - - 0 33,f6d4 g3g6 g7h8 g6h7,882,mate mateIn2 middlegame short
03P8w,r1b2rk1/pppp1ppp/8/3PP3/1P6/2PQB1q1/P2KB3/7R b - - 1 20,g3e5 d3h7,884,kingsideAttack mate mateIn1 middlegame oneMove
01dKC,r1bqk2r/ppp1n1p1/2np1p1p/4pP1Q/2B1P3/2b3N1/PPPP2PP/R1B2RK1 b kq - 1 9,e8d7 c4e6,886,mate mateIn1 middlegame oneMove
01UaM,8/8/p4nk1/Pp2Br2/8/2P3PK/1P2Qr1P/8 w - - 5 46,e2e1 f5h5,889,endgame mate mateIn1 oneMove
00H9n,7k/6p1/8/4p3/Pp1b4/1P3b1q/3Q2P1/5RK1 w - - 0 45,d2d4 h3g2,893,endgame master mate mateIn1 oneMove
01mGq,8/8/p1k3p1/P1P2p2/2K3Pp/7P/8/8 w - - 0 51,g4f5 g6f5 c4d4 f5f4,894,crushing defensiveMove endgame pawnEndgame short
00kq8,5Qk1/2R2pp1/7p/q2p4/2n5/7P/4RPP1/6K1 b - - 0 34,g8f8 c7c8 a5d8 c8d8,895,endgame mate mateIn2 short
03SQG,r3nbk1/1p4pp/1pp3q1/3RP1N1/5P2/1Q6/PP4PP/7K b - - 0 25,c6d5 b3d5 g8h8 g5f7 g6f7 d5f7,895,crushing endgame long master
02fPe,1R6/5pkp/4pNp1/P3P1P1/8/4rn2/1P6/2K5 b - - 2 33,e3e5 b8g8,898,endgame epauletteMate hookMate mate mateIn1 oneMove
033KN,8/8/6p1/2k2p1p/5P1P/3K1P2/8/8 b - - 3 40,c5b4 d3d4 b4b3 d4e5 b3c4 e5f6,902,crushing endgame long pawnEndgame
02kX6,5k1r/3pq1b1/pp1n1r1p/3B2p1/P7/Q1R4P/1P3PP1/3R2K1 b - - 6 27,d6f5 c3c8,904,mate mateIn1 middlegame oneMove
01q5Z,5r1k/pp4pp/8/3B4/1P2pRQ1/P5PP/3q4/6K1 b - - 2 33,f8f4 g4c8 f4f8 c8f8,905,endgame mate mateIn2 short
01gQ1,2kr1b1r/pbp5/1pn1q1pp/3p1p2/3P4/P1P1BQ1B/1P3P1P/R3K1R1 b Q - 1 18,g6g5 h3f5 e6f5 f3f5,908,advantage middlegame pin short
03jKe,8/1b3pk1/1P2p3/4P2p/1RpP1n2/2P5/5K1P/8 w - - 0 36,f2e3 f4d5 e3d2 d5b4,910,crushing endgame fork short
03br2,8/r1p1k1p1/P1P4p/2NbP2P/6P1/2n5/3p4/R2B2K1 b - - 2 46,c3d1 a1d1 d5f3 d1d2,912,advantage endgame master short
00KYE,r1b2k1r/pp4p1/2pq2p1/3p4/3p4/1N6/PPP2PPP/R2Q1RK1 w - - 0 17,d1d4 d6h2,913,kingsideAttack mate mateIn1 middlegame oneMove
02UIb,r3kr2/ppp1qNpp/1b6/3BPb2/3nQ3/8/PPP2PPP/RNB2RK1 w q - 1 12,e4f4 d4e2 g1h1 e2f4,913,middlegame
03ZiE,3r1r1k/6p1/pp1N2qp/2pQ1pn1/5P2/2P5/PP4PP/3RR1K1 b - - 0 29,g5f7 d6f7 g6f7 d5f7 f8f7 d1d8,914,crushing fork long middlegame
009eX,2r3k1/7p/6q1/p1Np4/Qp2pr2/P4P2/1PR2P1K/5R2 w - - 0 36,f1g1 f4h4,922,mate mateIn1 middlegame oneMove
01NVd,8/1K3Npk/5n2/R6p/7r/p7/8/8 b - - 1 48,h4h3 f7g5 h7g6 g5h3,922,advantage endgame fork master short
00kT1,r2q1rk1/pb2bpp1/2p1p3/4P3/2nP3p/P1PQBN1P/2B2PP1/R4RK1 b - - 5 18,c4e3 d3h7,924,mate mateIn1 middlegame oneMove
02GUG,1rn4k/2B3bp/R2pQpp1/1qp1p3/4P3/3P1P1P/1P4P1/6K1 b - - 1 27,b5a6 e6e8 g7f8 e8f8,925,endgame kingsideAttack mate mateIn2 short
02PKZ,6k1/ppp2p1p/5Bp1/8/2n2b2/2P2P1P/PP4r1/1K1R4 b - - 3 25,h7h5 d1d8 g8h7 d8h8,926,endgame mate mateIn2 operaMate short
02ynf,2kr3r/pp3pQp/2n1b3/1B6/4PB2/2N5/PPP1NbPP/3q1K1n w - - 0 16,c3d1 d8d1,929,mate mateIn1 middlegame oneMove
033ae,2kr1b1r/1p1n1pp1/p1N1p1b1/2p4p/3PPB1P/1PP2P2/6P1/R3KB1R b KQ - 1 16,b7c6 f1a6,930,bodenMate master mate mateIn1 middlegame oneMove queensideAttack
025Kj,rn1q1rk1/4bp2/b2p1n1B/p7/Ppp1P3/1B3Q2/1PP2PPP/1NKR3R b - - 0 16,c4b3 f3g3 f6g4 g3g4,932,advantage middlegame short
02g8I,5rk1/3n2pp/1qp1n3/pp2p1Q1/4P3/N1PP2RP/P1B3P1/7K w - - 3 25,g5e7 f8f1 h1h2 b6g1,935,kingsideAttack mate mateIn2 middlegame short
00jQ7,8/7p/1p3Qpk/1Pp5/2Pp4/5PP1/2q3KP/8 w - - 1 41,g2h3 c2f5 f6f5 g6f5,936,crushing endgame master queenEndgame short
01Md6,4r1k1/p4pp1/7p/4P3/P2pB3/4n2P/1r4P1/2R1R2K b - - 0 29,e8e5 c1c8 e5e8 c8e8,936,endgame master mate mateIn2 pillsburysMate short
00I8g,4rk2/3Rnrp1/8/4Q1p1/7P/6K1/8/8 w - - 0 50,h4g5 e7f5 e5f5 f7f5,937,crushing endgame short
0291d,8/8/3p1k2/R2P3K/5P2/3r2P1/8/8 w - - 1 63,g3g4 d3h3,937,endgame mate mateIn1 oneMove rookEndgame
02I1j,8/8/p7/5PP1/P4K2/2p5/3k4/4r1R1 w - - 5 52,g1e1 d2e1 f5f6 c3c2 f6f7 c2c1q,939,advancedPawn crushing endgame long master promotion
01194,5qk1/p1pb2p1/5p2/r2N1P1p/2Pp3Q/2n5/P5PP/R4RK1 w - - 0 25,h4d4 c3e2 g1h1 e2d4,940,crushing fork middlegame short
03uT1,5k2/5p2/8/R7/2p1K2r/2P5/P7/8 w - - 0 49,e4d5 h4h5 d5c4 h5a5,940,crushing endgame rookEndgame short skewer
02IwU,2k5/8/8/3N1P1r/4K3/8/1p6/1Rb5 b - - 0 50,c8d7 d5f6 d7c6 f6h5,941,crushing endgame fork short
00Htd,rnbqk2r/1p3ppp/p4b2/2Pp4/8/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 9,d1d5 f6c3 b2c3 d8d5,944,crushing intermezzo opening short
02Rqq,5rk1/2R5/p2r3p/3p1bp1/3P4/1P3P2/P5PP/4R1K1 b - - 0 25,f8c8 c7c8 f5c8 e1e8 g8g7 e8c8,945,advantage endgame exposedKing fork long
00FH6,r6r/1q2bpk1/7p/p1p1pPpn/Pp2P1nP/1P1B1N2/2P3P1/2BRR1QK w - - 7 30,c1b2 h5g3,946,mate mateIn1 middlegame oneMove
01FzV,8/8/6k1/5p2/2R4P/3K1n2/2p5/8 w - - 2 49,c4c2 f3e1 d3c4 e1c2,947,crushing endgame fork short
02TTi,r1b1k2r/ppp2pp1/2p2n2/2b1N2p/3qP3/2N4P/PPPP1PP1/R1BQK2R w KQkq - 1 8,e5f3 d4f2,951,attackingF2F7 mate mateIn1 oneMove opening
00E29,r1bq1rk1/4bppp/p1n5/3P4/Pp6/3B1N2/1B3PPP/R2Q1RK1 b - - 0 17,d8d5 d3h7 g8h7 d1d5,953,crushing discoveredAttack kingsideAttack middlegame short
00puq,4r3/1k3pbp/1pp1q3/p3Npp1/P2P2n1/2PQ4/1P3PPP/2N1R1K1 w - - 6 33,e5f3 e6e1 f3e1 e8e1 d3f1 e1f1,955,crushing fork long middlegame
00z6Y,r3k2r/1pp5/p1b1pq1b/3p2Np/3P1BnP/8/PPP2PP1/RN1QK2R w KQkq - 0 14,f4e5 f6f2,955,attackingF2F7 mate mateIn1 middlegame oneMove
01IFU,r1b2rk1/pp3pp1/3b3p/3Bn3/P2N1q2/2P4P/1P3PP1/RN1Q1RK1 w - - 1 17,d4e2 e5f3 g2f3 f4h2,956,kingsideAttack mate mateIn2 opening sacrifice short
02Pxu,6k1/R7/6K1/7P/8/6p1/8/7r b - - 3 58,g3g2 a7a8,957,endgame mate mateIn1 oneMove rookEndgame
01tz1,r3r1k1/p1p2ppp/4b3/7q/6n1/2BP4/PPP2RPP/RN3QK1 w - - 10 17,f2e2 h5h2,958,kingsideAttack mate mateIn1 middlegame oneMove
01F7L,r3kb1r/ppp2ppp/8/2p1Pb2/3Pn2q/3B1P2/PPP3PP/RNBQK2R w KQkq - 1 9,e1e2 h4f2,959,mate mateIn1 oneMove opening swallowstailMate
01rfL,5rk1/3Q1ppp/pp6/8/5P2/1Pq5/2PR2PP/7K b - - 1 24,f8c8 d7d8 c8d8 d2d8,959,backRankMate endgame mate mateIn2 sacrifice short
00KOz,8/r4k2/7R/5PK1/1n6/8/8/8 b - - 3 56,b4d5 h6h7 f7f8 h7a7,960,crushing endgame master short skewer
02Ub5,7Q/2r1kbR1/p2p4/1p6/3BP3/5P2/PPPq4/1K6 w - - 6 36,g7g1 d2c2 b1a1 c2c1 g1c1 c7c1,961,endgame long mate mateIn3 sacrifice
03PXc,1r6/4P3/3p1p2/p6k/P6P/5PP1/1p4K1/4R3 w - - 2 39,e7e8q b8e8 e1e8 b2b1q e8h8 h5g6,964,advancedPawn crushing endgame long promotion
0305P,r3kb1r/p4ppp/1q2p3/1bpp1P2/3Pn3/2P2N2/PP4PP/RNBQR2K w kq - 1 13,f5e6 e4f2 h1g1 f2d1,966,advantage fork opening short
00WiX,1Q6/5kpp/1p2p3/p1p1r3/2Pn4/6P1/P4P1P/6K1 w - - 0 32,b8e5 d4f3 g1f1 f3e5,967,crushing endgame fork short
03eRx,8/4r1p1/5p1p/8/5kP1/1R3P1P/5K2/8 b - - 3 45,e7e5 b3b4 f4g5 f3f4 g5h4 f4e5,967,crushing endgame fork long rookEndgame
00ZR6,8/1pr2pk1/3R1np1/6p1/p5Pn/1B2P2P/P3qP2/3R2KQ w - - 0 41,d6d2 h4f3 h1f3 e2f3,969,crushing fork master masterVsMaster middlegame short
017Ut,3r3r/pp3pp1/5k2/2pbq3/3N4/Q4PP1/PPP1N2p/R3R2K w - - 1 22,a3c5 d5f3 d4f3 e5c5,970,advantage discoveredAttack middlegame short
00EoE,r1b1k3/ppr4p/5p2/5p2/8/2P3P1/P4PP1/4RK1R b q - 1 23,e8f7 h1h7 f7g6 h7c7,974,crushing endgame short skewer
00Ru6,3r1r2/p5kp/1p4pP/2p5/2PbBQ2/2q5/P1P1K3/5R2 b - - 0 34,g7h8 f4f8 d8f8 f1f8,974,mate mateIn2 middlegame short
008oX,4r1k1/2R3pp/2p4q/1p1p4/3P4/P7/1PP2R2/1K1N4 b - - 3 32,e8e1 c7c8 e1e8 c8e8,976,endgame mate mateIn2 short
00VSe,6nr/1pN2ppp/p2Qbk2/2B1p3/3nq3/8/PP2BPPP/5K1R w - - 8 19,c5d4 e4b1 e2d1 b1d1,978,mate mateIn2 middlegame short
03INy,3r3k/r2P2pp/p3R3/8/q2R1p2/5Q2/6PP/4N2K b - - 0 36,a4d4 e6e8 d8e8 d7e8q,979,advancedPawn backRankMate endgame mate mateIn2 promotion short
03T17,8/5ppk/2Q4p/3p1q2/8/7P/PP1r1PP1/2R3K1 w - - 1 31,c6c3 f5f2 g1h2 f2g2,981,endgame mate mateIn2 short
01LoE,r1b2k1r/pppp2pp/2n5/4q1N1/2Q1P3/8/P4PPP/R1B2RK1 b - - 2 15,h7h6 c4f7,982,mate mateIn1 middlegame oneMove
01yBt,4k1r1/2pN3Q/pq3r2/1p6/1P6/P2B3P/7K/3b4 w - - 22 44,d7b6 f6f2 h2h1 d1f3,989,endgame mate mateIn2 morphysMate short
007Rn,4r1k1/p4p1p/1p6/6q1/3P2n1/P4Q2/1P1B2P1/7K w - - 0 34,d2g5 e8e1 f3f1 e1f1,990,endgame mate mateIn2 short
02XHQ,4k2r/3pq2p/7Q/2p2p2/2N5/2Pp3N/P2K1PPP/n6R w k - 0 23,h1a1 e7e2 d2c1 e2c2,991,endgame mate mateIn2 short
02mx1,2bk4/1p2b2p/2n3p1/1B2Np2/4p3/2B1P2P/1P3PP1/5K2 b - - 3 34,c6e5 c3a5 b7b6 a5b6,991,doubleBishopMate endgame mate mateIn2 short
015Qo,r3k2r/1p2ppb1/2p3p1/p1N5/2qPP3/B1n3Pp/2Q2P1P/RR4KB w kq - 0 25,a3b2 c3e2 c2e2 c4e2,992,advantage kingsideAttack middlegame short
02r27,4r3/2pqrpk1/3p2pp/p1pPb1QP/2P1P3/1P3R2/P1B3P1/5R1K w - - 0 30,f3f7 e7f7 g5g6 g7f8 g6f7 d7f7 f1f7 f8f7,992,crushing master middlegame veryLong
03a1M,r5k1/ppp1Qppp/1q4b1/6r1/2P2R2/2P1P2P/PB3PP1/1R4K1 b - - 8 22,g6b1 e7f7 g8h8 f7f8 a8f8 f4f8,992,backRankMate long mate mateIn3 middlegame sacrifice
00XCT,6Q1/7K/2k5/3r4/8/8/8/8 w - - 5 82,h7h8 d5h5 g8h7 h5h7,996,endgame equality queenRookEndgame short
00J7i,3r2k1/pQ3ppp/4R1n1/2q5/2P5/2B3P1/P4PBP/6K1 b - - 0 24,f7e6 b7g7,999,endgame master masterVsMaster mate mateIn1 oneMove
03i7F,1r3rk1/QP1n1ppp/R7/8/2p5/3b1P2/1P1B1pPP/2K1qB1R w - - 12 27,d2e1 f2e1q,1000,advancedPawn mate mateIn1 middlegame oneMove promotion
03rlt,8/pp6/2p4N/4k3/PPP3p1/3B1p2/6rP/4K3 b - - 0 39,g2h2 h6g4 e5d4 g4h2,1000,endgame equality fork short
01i1R,r7/ppp2Rpk/2n1Q2p/3p4/4P3/P2Pq2P/2P3PK/8 b - - 1 21,c6d8 e6f5 h7h8 f7f8,1001,endgame mate mateIn2 short
02Ogx,8/4p3/3pp3/4k1p1/1pP1P3/3K2P1/P4P2/8 w - - 0 30,f2f4 g5f4 g3f4 e5f4 d3d4 e6e5,1004,endgame
02YaB,6k1/1p4bp/prn3p1/5p2/4p3/P3P1NP/4B1P1/2R3K1 b - - 1 27,b6b3 e2c4 g8h8 c4b3,1004,advantage endgame fork short
03fwW,3r2k1/5pp1/p1N1p2p/1p6/3q1P2/P4Q1P/6PK/8 b - - 1 36,d4d5 c6e7 g8f8 e7d5,1004,advantage endgame fork master short
01VG0,r3k2r/pp3pp1/4p3/3pqnp1/PPP5/8/4NPPP/R2Q1RK1 w kq - 0 21,c4d5 e5h2,1006,kingsideAttack mate mateIn1 middlegame oneMove
003jv,1R6/1p2k2p/p2n2p1/4K3/8/6P1/P6P/8 w - - 10 37,b8h8 d6f7 e5e4 f7h8,1007,crushing endgame fork short
002O7,r3qrk1/2p2pp1/p2bpn1p/2ppNb2/3P1P2/1PP1P1B1/P2N2PP/R2Q1RK1 b - - 0 14,f5g4 e5g4 f6g4 d1g4,1008,crushing middlegame short
00Sz9,1r4k1/p4ppp/4p3/p5n1/4P3/1P1N1PPq/QB3b1P/R5K1 w - - 0 30,d3f2 g5f3 g1h1 h3h2,1008,kingsideAttack mate mateIn2 middlegame short
02zve,8/8/8/P1k3p1/1N1p4/3K1p1P/8/8 w - - 2 53,b4c2 f3f2 d3e2 d4d3 e2d3 f2f1q,1010,advancedPawn attraction crushing deflection endgame exposedKing knightEndgame long promotion
00b3n,7R/1P3pk1/5rpp/8/8/4P1PK/4qPQP/8 w - - 7 41,b7b8q e2h5,1012,endgame mate mateIn1 oneMove
03RTc,2rk1b1r/p4Qpp/3p4/3Pp3/8/2P2P2/PP4qP/n1BK2NR b - - 0 20,g2h1 c1g5 f8e7 f7e7,1013,mate mateIn2 middlegame short
00VFK,8/6pk/7p/Q7/6P1/3q3K/1P5P/8 w - - 1 45,h3h4 g7g5 a5g5 h6g5,1017,crushing endgame master queenEndgame short
03pN4,r2qr1k1/pp3ppp/8/3p4/6n1/2PQP1PN/PP5P/RN2K2R w KQ - 1 18,h3f4 e8e3 d3e3 g4e3,1019,crushing fork middlegame short
01SLc,3k4/5p2/3Pb3/4P1p1/N7/4K3/8/8 b - - 9 54,d8d7 a4c5 d7c6 c5e6,1020,crushing deflection endgame short
00bWA,2r1r1k1/3qbppp/pB6/3ppP2/2p1Q3/P6P/BPP3P1/R4RK1 w - - 0 22,e4e5 e7c5 e5d4 c5d4,1021,crushing middlegame short
01wOb,r1b2rk1/ppp2Bpp/3p4/3P4/3p4/3P1Q2/PPq2PPP/R3R1K1 b - - 0 14,f8f7 e1e8 f7f8 f3f8,1023,kingsideAttack mate mateIn2 middlegame short
00Yfr,5k2/1R4p1/p2bpr1p/3rN3/3P4/8/P1R2pPP/5K2 b - - 1 34,d6e5 c2c8 d5d8 c8d8,1026,endgame mate mateIn2 short
00blC,5r2/1Pk5/8/K7/8/1P3B2/8/8 w - - 1 47,f3d5 f8f5 b7b8b c7b8 a5b5 f5d5,1027,crushing endgame long pin
01QSk,6k1/7r/4P1p1/Q7/3P4/1r3K2/6P1/8 w - - 9 51,f3e4 h7h4 e4d5 h4h5 d5c4 h5a5,1028,crushing endgame long queenRookEndgame skewer
02rcU,rn1q1rk1/3b1pbp/p2p2p1/1pp3B1/3Pn3/5N1P/PPBQNPP1/R3K2R w KQ - 0 15,g5d8 e4d2 f3d2 f8d8,1033,advantage intermezzo middlegame short
01ayA,r3r1k1/p4ppp/2p5/3p4/3bbPP1/2N4q/PPPQ3N/4RRK1 w - - 2 22,d2d4 h3g2,1034,mate mateIn1 middlegame oneMove
031G5,r1bqk1r1/ppp2p2/1bnp1n1p/4p1pQ/2B1P2N/2PPB2P/PP3PP1/RN3RK1 b q - 1 10,b6e3 h5f7,1034,attackingF2F7 mate mateIn1 oneMove opening
03d1g,r3k2r/3bbpp1/pqN5/3p4/1P3Nn1/2P3pP/P5P1/R1BQK2R w KQkq - 1 21,c6e7 b6f2,1037,mate mateIn1 middlegame oneMove
02C3w,r1bqkbnr/ppp2ppp/2n1p3/8/3pP3/5N2/PPPPNPPP/R1BQKB1R w KQkq - 2 5,e2d4 c6d4 f3d4 d8d4,1039,advantage opening short
00QCD,3r1rk1/1Q3ppp/1q2pb2/8/1P1N4/4P1P1/3B1PBP/R5K1 b - - 0 23,b6b7 g2b7 f6d4 e3d4,1041,advantage middlegame short
02pdl,3r1rk1/5p1p/2p2R2/4q1P1/p3p3/P2BQ3/2P3P1/2KR4 w - - 1 27,d3e4 e5a1,1042,mate mateIn1 middlegame oneMove
03Xsn,3r1rk1/pp3ppp/1qnb4/8/2Q2nB1/1P3N1P/PB3PP1/R4RK1 w - - 1 19,c4c3 f4e2 g1h1 e2c3,1042,crushing fork middlegame short
01z9G,2kr1b1r/pp1n1pp1/1qp1pnp1/8/2BP1BP1/2N2Q1P/PPP2P2/2K1R2R b - - 1 15,b6d4 f3c6 b7c6 c4a6,1043,bodenMate mate mateIn2 middlegame queensideAttack sacrifice short
01kY6,6k1/8/6pr/5p2/1P1R1P2/8/3K4/8 b - - 0 47,h6h7 d4d8 g8f7 d8d7,1044,crushing endgame master rookEndgame short
020Jm,2r5/1b4kp/pN1P2p1/5p2/3Rpq2/1Q5P/PPr3P1/3R2K1 w - - 1 32,b6c8 f4f2 g1h2 f2g2,1049,mate mateIn2 middlegame short
03FZU,R7/5P1p/2q3pk/1p1p1b2/3Q3P/2r2PK1/8/8 b - - 0 38,c6d6 d4f4 d6f4 g3f4,1051,crushing endgame short
00Gt0,R7/4k3/5p2/3p2p1/4b2p/2K1P2P/5PP1/8 w - - 2 47,f2f3 d5d4 c3d4 e4a8,1052,crushing discoveredAttack endgame master short
